Name,Owner,Address,Latitude,Longitude,Year
Tiger,Wright Zaccheus,24 Wells Street Oxford Street London ,51.5101356,-0.375544,1839
Red Lion,Beaumont Joseph,9 Little Guilford Street  London ,51.2252397,-0.3658517,1839
Three Compasses,Lockwood George,15 Little Guildford Street  London ,51.2252397,-0.3658517,1839
Stile,Hartshorn William,7 Barbican  London ,51.5204074,-0.3609703,1839
Red Cross,White Henry,33 Barbican  London ,51.5208554,-0.3606618,1839
Earl Grey,Thompson Thomas,Dorchester Place New North Road London ,51.5567002,-0.3602999,1839
Bricklayers Arms,Thornton Alexander,Dorchester place New North road London ,51.5567002,-0.3602999,1839
Wheat Sheaf,Jones John,46 Holywell Street Strand London ,51.7494346,-0.340734,1839
Tower,Shaw Rt,Gilderts Buildings Westminster Road London ,51.5076643,-0.3392455,1839
Coach & Horses,Franklin John,Norfolk Street Park Lane London ,51.4262344,-0.3350284,1839
Equestrian Coffee House,Kerschner George and Joseph,Surrey Theatre  London ,51.2946356,-0.3286939,1839
Lord Wellington,Pacy Hny,York Street London Road London ,51.2394216,-0.3249302,1839
Blakeneys Head,Tunnicliffe William George,40 Ruffords Buildings  London ,51.5807823,-0.3212762,1839
Dr Butlers Head,Larby William Adams,5 Whiterose Court Coleman Court London ,51.6104975,-0.3142063,1839
Star & Garter,Bland Jennet,Old Palace Yard  London ,51.4609854,-0.3097975,1839
Blue Posts Tavern,Hitchcock John,13 Cork street Bond street London ,51.5120166,-0.3058562,1839
Coach & Horses,Pain Thomas,51 Bruton Street Bond Street London ,51.5120166,-0.3058562,1839
Duke of Albemarle,Lee William,6 Stafford Street Bond Street London ,51.5120166,-0.3058562,1839
Crown,Pope Samuel,Pauls Alley St Pauls London ,51.4843827,-0.3055409,1839
Stag,Swayne Rs,Portland Terrace Wandsworth Road London ,51.4621481,-0.3052826,1839
Kings Arms,Stroud Abraham,1 Park Place Liverpool Road London ,51.5059867,-0.3025277,1839
Admiral Nagle,Reilly John,3 Bambridge Street  London ,51.4285622,-0.2983353,1839
Three Tuns,Franklin Samuel,4 Bridgewater Gardens  London ,51.6001865,-0.2884228,1839
Huntsman and Hounds,Masons Thomas,Park Place East Street London ,51.4990099,-0.2822172,1839
Hermit,Debenham Samuel,Bedford Square Commercial Road east London ,51.5337215,-0.2724846,1839
North Briton,Malchar John,1 Bedford Square Commercial Road east London ,51.5320984,-0.2717875,1839
Seven Stars,Husband Thomas Matt,22 Rosemary Lane  London ,51.4686637,-0.2701355,1839
Blue Anchor,Parker Eleanor,48 Rosemary Lane  London ,51.4686637,-0.2701355,1839
Coopers Arms,Hall Edward,78 Rosemary Lane  London ,51.4686637,-0.2701355,1839
George IV,Roberts John,43 Rosemary Lane  London ,51.4686637,-0.2701355,1839
Swan,Wighton Peter,58 Rosemary Lane  London ,51.4686637,-0.2701355,1839
Windmill,Hebard Alfred,55 Rosemary Lane  London ,51.4686637,-0.2701355,1839
King of Prussia,Ratcliff Jas,29 Somerset Place Rosemary Lane London ,51.4684535,-0.2700392,1839
Horns and Horse Shoe,Skipping Robert,3 Cable Street Rosemary Lane London ,51.4684535,-0.2700392,1839
Duke of Sussex,Clark Charles,10 Rosemary Lane  London ,51.4682776,-0.2696909,1839
Bedford Arms,Heath R,1 Bedford Row Kent Road London ,51.4983685,-0.2689637,1839
Cottage of Content,Knowles Richard,1 Park Place kent Road London ,51.4983685,-0.2689637,1839
Three Goats Heads,Watkins John,Belmont Place Wandsworth Road London ,51.493695,-0.2630047,1839
Crown,Letchford james,St Dunstans Passage  London ,51.5140789,-0.2614642,1839
Brown Bear,Pitcher Charles,14 Seacoal lane  London ,51.519863,-0.2607936,1839
New George,Saunders John,18 Drury Court  London ,51.5546414,-0.2585762,1839
Welch Harp,Letford Thomas,23 Aylesbury Street  London ,51.5615113,-0.2584528,1839
Two Brewers,Cutmore George,26 Aylesbury Street  London ,51.5614041,-0.2584198,1839
Bulls Head,Baker Fras.,16 Aylesbury street  London ,51.5615823,-0.2580196,1839
White Hart,Camper John,4 Aylesbury Street  London ,51.5618937,-0.257525,1839
White Hart,Simms Joseph,Parkside Kensington London ,51.5077751,-0.2565045,1839
Horse Shoe and Magpie,Hewett William,1 Bedford Street Bedford Row London ,51.4972748,-0.2555971,1839
One Tun,Jefferson Thos,Charles Court Strand London ,51.4700739,-0.2546558,1839
Bird cage,Jones Edward,Barnet Street  London ,51.6312087,-0.2539729,1839
Goat,Bowker Samuel,2 High Street Kennington London ,51.5374537,-0.2492115,1839
Wheat Sheaf,Bradshaw Jos,24 High Street Camden Town London ,51.5369292,-0.2488359,1839
Bedford Arms,Sadler Thomas,21 Charlotte Street Bedford Square London ,51.4772391,-0.2475797,1839
Wheat Sheaf,Oldfield Thomas,Worcester Street Borough London ,51.6271316,-0.2474674,1839
Kings Arms,Savage William,Davis Place Chelsea London ,51.5056498,-0.2468853,1839
Britannia,Temple Chas.,83 High street Camden town London ,51.536034,-0.2459717,1839
Duke of York,Groves James,8 Shepherd Street Oxford Street London ,51.5366627,-0.2458293,1839
Portsmouth Arms,Pavis John,4 Shepherd Street Oxford Street London ,51.5366627,-0.2458293,1839
Mother Black Cap,Roberts Edward,91 High Street Camden Town London ,51.536251,-0.2457734,1839
King on Horseback,Bale Richard,118 High Street Borough London ,51.535877,-0.2447412,1839
Mother Red Cap,Butler Thomas,High Street Camden Town London ,51.5356352,-0.2441262,1839
Castle,Jekyll Thos.,6 Bullen’s court Strand London ,51.7421892,-0.2438998,1839
Bagnigge Wells,Hamilton Jno,Clarks Place  London ,51.6299997,-0.2432048,1839
New Southampton Arms,Carter Edward,168 High Street Camden Town London ,51.5349073,-0.2431076,1839
Red Cross,Fielder Hannah,200 High Street Borough London ,51.5341324,-0.2423263,1839
Black Bull,Withers William,206 High Street Borough London ,51.5340083,-0.2419449,1839
Ben Jonsons Head,Cozens Chas,2 Westmoreland Buildings  London ,51.4770486,-0.2408749,1839
Black Horse & Crown,Thompson William,235 High Street Borough London ,51.5332903,-0.2406916,1839
Dolphin,Russell Edward,15 Hyde Street Bloomsbury London ,51.6072142,-0.2388301,1839
Green Man & Still,Riley James,Coppice Row  London ,51.4527565,-0.2387433,1839
Bulls Head,Barr Henry,26 Hyde street Bloomsbury London ,51.6072569,-0.2384279,1839
Green Man,Medcalfe Stephen,Cambridge Road  London ,51.412932,-0.2364707,1839
Lord Wellington,Ornage Hy,Three Colts Lane Cambridge Road London ,51.412932,-0.2364707,1839
Carpenters Arms,Halfpenny William,34 Cambridge road  London ,51.4131848,-0.2340634,1839
Cross Keys Tap,Starr George,128 Wool Street City London ,51.4217196,-0.2337815,1839
Red Lion,Smith William,4 Cambridge Road  London ,51.414304,-0.2315024,1839
Queens Head,Moss Thomas,1 Cambridge Road  London ,51.4147343,-0.2309239,1839
Three Colts,Clark John,1 Cambridge Road  London ,51.4147343,-0.2309239,1839
Gentleman & Porter,Matthews Samuel James,16 Nicholl Square  London ,51.57755,-0.2291815,1839
Horse and Groom,Woolley Daniel,60 King Street Borough London ,51.4925624,-0.2289725,1839
Coopers Arms,Collyer Charles,19 Bridge Row  London ,51.4917472,-0.2287842,1839
George IV,Walter Charles,12 Portsmouth Road  London ,51.4489989,-0.2285146,1839
Angel,Hardwick Thos & Geo,45 King Street Borough London ,51.4927055,-0.2271972,1839
Northumberland Arms,Greenwood William,Bagnigge Wells Road  London ,51.5013285,-0.2263231,1839
Union Tavern,Curtis John,Baker Street Bagnigge Wells Road London ,51.5013285,-0.2263231,1839
Kings Arms,Vousden Elizabeth,5 King Street Borough London ,51.4927478,-0.2252781,1839
Horse & Sacks,Moss Mary,25 Harrow Road  London ,51.5294126,-0.2218434,1839
Golden Key,Row Thos,20 Bell Street Edgware London ,51.5861969,-0.2194042,1839
Cock & Neptune,Taylor Peter,71 Parsons Street Ratcliff London ,51.4557289,-0.2183826,1839
Rose & Crown,Roberts John,64 Parson Street Ratcliff London ,51.4557289,-0.2183826,1839
Blue Anchor,Sanders Joseph,Parson street Ratcliff London ,51.4556898,-0.2180711,1839
Red Bull,Webster James,20 St Anns Court  London ,51.5088608,-0.215738,1839
Devonshire Arms,Hardy L,4 Middle Row Knightsbridge London ,51.5257667,-0.2116906,1839
Marquess of Granby,Glover Jno,Middle Row Knightsbridge London ,51.5259674,-0.2116715,1839
Bricklayers Arms,Scull William,54 Park street Oxford street London ,51.5187052,-0.2116259,1839
Blue Posts,Thomas Edw.,Grosvenor mews Bond street London ,51.4628254,-0.2112914,1839
Three Cranes,Wells John,1 Park Place Mile End Road London ,51.4953405,-0.2093126,1839
Pine Apple,Moore Thomas,3 St Georges Road  London ,51.420965,-0.2078944,1839
Regalia,Mackenzie Benj,11 Augustus Square  London ,51.4448578,-0.2076422,1839
Red Cow,Taylor Thomas,9 Park Place Mile End Road London ,51.2413074,-0.2059067,1839
Plough,Tyrrell William,Notting Hill  London ,51.5110287,-0.205389,1839
Castle,Lane William,Notting hill  London ,51.5110287,-0.205389,1839
Coach & Horses,Drinkwater Joseph,Notting Hill  London ,51.5110287,-0.205389,1839
Wheat Sheaf,Bliss James,137 St Albans Place  London ,51.6592684,-0.2053656,1839
Sovereign,Collingford R,34 Munster Street  London ,51.4731281,-0.2044227,1839
Brunswick Arms,Schnackenberg Stoffer,Hooper Square  London ,51.4561878,-0.2023442,1839
Red Lion & Key,Brent Grace,23 Mill Lane Borough London ,51.5511035,-0.2018831,1839
Prince of Wales,Cross John,22 Great Barlow Street Marylebone London ,51.5486771,-0.2009818,1839
Rising Sun,Dawson Wm,12 Charles Street Grosvenor Square London ,51.4142089,-0.2004733,1839
Malpas Arms,Chisholm Robert,7 Charles Street Grosvenor Square London ,51.4142276,-0.2002109,1839
Running Footman,James James,5 Charles Street Grosvenor Square London ,51.4142452,-0.2001507,1839
Black Dog,Haskell Philip,Denmark Street St Georges London ,51.5337037,-0.2000773,1839
Pembroke Arms,Gregory William,Pembroke Square Kensington London ,51.4965031,-0.1989589,1839
Artichoke,Gray Arthur,High Street Kensington London ,51.4997655,-0.1964995,1839
Civet cat,Cornell George,High Street Kensington London ,51.4997655,-0.1964995,1839
Coach & Horses,Jones Owen,High Street Kensington London ,51.4997655,-0.1964995,1839
Prince of Orange,Heavens Frederick,Phillip Street St Georges East London ,51.4958178,-0.1962096,1839
George,Pollin John,Church Street Kensington London ,51.5056169,-0.1941979,1839
Northumberland Arms,Johnstone James,Holland Street  London ,51.5028687,-0.1938831,1839
Kensington Arms,Janes James,Newland Street Kensington London ,51.5010095,-0.1932794,1839
Warwick Arms,Basley Wm,Kensington  London ,51.5010095,-0.1932794,1839
Greyhound,Hurren Benjamin,Kensington Square  London ,51.5010095,-0.1932794,1839
Star & Garter,Coston Charles,Newland Place Kensington London ,51.5010095,-0.1932794,1839
Marlborough Head,Harrison J,23 Green Walk Holland Street London ,51.5028833,-0.1930953,1839
White Bear,Seaborn Elizabeth,30 Park Street Oxford Street London ,51.5352409,-0.1923433,1839
Duke of Cambridge,Sinclair Duncan,Mile End Gates Mile End Road London ,51.5515338,-0.1922765,1839
Holland Arms,Dalton Edw,Holland Place Kensington London ,51.5034094,-0.192076,1839
Catherine Wheel,Charnley Thomas,11 Church Street Kensington London ,51.5029001,-0.1917594,1839
North Pole,Trovey William,Church Row St Georges East London ,51.4795135,-0.1910763,1839
Duke of Sussex,Scarlett Wm,55 High Street Kensington London ,51.5019807,-0.1898319,1839
Wheat Sheaf,Drinkwater Jas,53 High Street Kensington London ,51.5019454,-0.1895607,1839
Rising Sun,Walpole J,26 High Street Knightsbridge London ,51.5025761,-0.1894276,1839
Brown Bear,Lloyd Thos.,30 High row Knightsbridge London ,51.5025498,-0.1893539,1839
Cock,Thurston jas,1 Upper North Street Chelsea London ,51.5065244,-0.1889157,1839
King of Prussia,Bawcomb John,27 High Street Kensington London ,51.5022454,-0.1886125,1839
Life Guardsman,Byers Thomas,27 High Street Knightsbridge London ,51.5022482,-0.1886096,1839
Queens Arms,Jones John,21 High Row Knightsbridge London ,51.5022488,-0.1883933,1839
Kings Head,Neat Simon,24 High Road Knightsbridge London ,51.5023283,-0.1883081,1839
Red Lion,Lovelock Henry,21 Basing Lane  London ,51.5936078,-0.1882956,1839
Rose & Crown,Frazer J,16 High Road Knightsbridge London ,51.5027022,-0.1882164,1839
Hope,Bath Charles,Porchester Street  London ,51.517217,-0.1881328,1839
King and Queen,Samms James,11 High Street Kensington London ,51.5021205,-0.1880814,1839
Marquess of Granby,Woolfries Thos,9 HIgh Street Kensington London ,51.5021186,-0.1880066,1839
Three Tuns,Sibley Ham,3 High Street Kensington London ,51.5021973,-0.1876072,1839
Horse and Groom,Houseman Robert,21 St Martin Street  London ,51.433595,-0.187336,1839
Admiral Keppel,Watts Henry,Fulham Road  London ,51.481813,-0.1872572,1839
Bell & Horn,Rhoads John,Fulham Road  London ,51.481813,-0.1872572,1839
Fishing Smack,Atkins Robert,Cole Harbour  London ,51.4592188,-0.1859828,1839
City of London,Peeling Samuel,30 Dalby Terrace  London ,51.460752,-0.1859289,1839
Bayswater Tavern,Wall Wm,Bayswater  London ,51.5134339,-0.183801,1839
Black Lion,Simpson Charles,Bayswater  London ,51.5134339,-0.183801,1839
Kings Head,Adams Thomas,Bayswater  London ,51.5134339,-0.183801,1839
Swan,Ratcliffe Thomas,Bayswater  London ,51.5134339,-0.183801,1839
Angel and Crown,Harmby Geo,23 Gloucester Street Queens Square London ,51.4980681,-0.1834138,1839
Blakeneys Head,Witherington William james,33 Bartholomew Close  London ,51.4604728,-0.1830378,1839
Coach & Horses,Galwin Chris,71 Bartholomew Close  London ,51.4604728,-0.1830378,1839
White Hart & Fountain,Hawkins Martin,139 Rosemary Lane  London ,51.5960245,-0.182803,1839
British Lion,Collison Wm.,14 Bartholomew terrace  London ,51.4607362,-0.1826243,1839
Old Fountain,Bradley Thomas,132 Rosemary Lane  London ,51.5959335,-0.1826189,1839
Butchers Arms,Callow John,48 Peartree court  London ,51.4355491,-0.1821134,1839
Red Lion,Gosling Thomas,1 Lower Street Islington London ,51.5594932,-0.1812883,1839
Fox & Grapes,Simms Jno,18 Primrose Street Bishopsgate London ,51.5180717,-0.1809841,1839
George IV,Cardwell Robert,27 Queens Row Pimlico London ,51.4986108,-0.1800272,1839
Brown Bear,Wright Wm.,32 Devonshire street Queen’s square London ,51.5136582,-0.1798742,1839
Royal Clarence,Evans James,66 Westbourne Place Pimlico London ,51.5152549,-0.1794956,1839
Craven Head,Nicholson William,39 Craven Place Bayswater London ,51.5136013,-0.1791748,1839
Camden Arms,Carter William,Kensington gore  London ,51.500786,-0.1781517,1839
Perseverance,Hollowell Wm,20 William Street Hampstead Road London ,51.5556276,-0.1768743,1839
Rising Sun,Hall William,3 Lombard Street Chelsea London ,51.4729191,-0.1768098,1839
Bull and Gate,Beynon David,Craven place Kentish Town London ,51.5150228,-0.1766201,1839
Coal Hole,Rhoades William and John,Fountain Court Strand London ,51.4283673,-0.1764707,1839
Ship & Shovel,Corby Thomas,3 Craven Court Strand London ,51.51501,-0.1763536,1839
China Ship,Greengrass George,5 Little Hermitage Street  London ,51.5197691,-0.1762131,1839
Prince of Wales,Richardson James,Great Hermitage Street  London ,51.5197691,-0.1762131,1839
Sugar Loaf,Cowley Daniel,41 Great Hermitage Street  London ,51.5197691,-0.1762131,1839
Hand and Flower,Ploughman Francis,Kensington Grove  London ,51.5015884,-0.1761605,1839
Globe,Crowhurst Geo,Millman Row Chelsea London ,51.4825501,-0.1759432,1839
Britannia,Row Richard,Carnera street Chelsea London ,51.485093,-0.174936,1839
White Hart,Hickman Chas,17 Upper Closter Place Chelsea London ,51.485093,-0.174936,1839
Sussex Arms,Mills Geo,14 Westbourne Street  London ,51.5125135,-0.1749296,1839
Prince of Wales,Hughes R B,1 South parade Chelsea London ,51.4894315,-0.1741378,1839
Green Man,Harding Timothy,1 Beaufort Street Chelsea London ,51.4824738,-0.1741134,1839
Black Lion,Davies Jno & Benj,28 Church Street Chelsea London ,51.5213144,-0.1735079,1839
King and Queen,Weston Thos Richard,Paddington Green  London ,51.5201213,-0.1732667,1839
Grand Junction Arms,Rennison John,Praed Street  London ,51.5171041,-0.1728799,1839
Pavilion,Walsh Jno,Newcastle Street Strand London ,51.5204727,-0.1723599,1839
Fountain,Weller S Walker,Newcastle Street Strand London ,51.5204727,-0.1723599,1839
Ordnance Arms,Baldwin Wm,1 York Road  London ,51.4697847,-0.1723443,1839
Kings Head,Taylor John,King Street Mews Park Lane London ,51.5943878,-0.1718421,1839
Falcon,Harris Solomon,8 Falcon Square  London ,51.469647,-0.171749,1839
Falcon,Cooper Martha,10 Falcon Court Borough London ,51.469626,-0.1717454,1839
George IV,McGill Jas,9 George Buildings Old Street Road London ,51.4833779,-0.171492,1839
Load of Hay,Haynes George,62 Praed Street  London ,51.5179118,-0.1714114,1839
George,Elgee Edward,4 St Georges Place High Street London ,51.4242826,-0.1711453,1839
Tally Ho,Brown Peter,5 Junction Place Kentish Town London ,51.5178453,-0.1707931,1839
White Horse,Winter Sarah,62 Church Street Chelsea London ,51.5235008,-0.1707865,1839
Cross Keys,Wakefield Henry,1 Lawrence Street Chelsea London ,51.4835871,-0.1706115,1839
Grapes,Dickinson Geo,Brompton Grove Brompton London ,51.4978781,-0.1698742,1839
George,Mills George,38 Church Street Soho London ,51.5238507,-0.1697258,1839
George & Thirteen Cantons,Miles George,38 Church Street Soho London ,51.5238507,-0.1697258,1839
Oakley Arms,Gurney John,27 Oakley Street  London ,51.4854841,-0.1687277,1839
Carpenters Arms,Heaviside J. 18 Princes street,Edgware road  London ,51.5189412,-0.1685655,1839
Feathers,Edmonds Charles Joseph,42 Brown Street Edgware Road London ,51.5189412,-0.1685655,1839
Key,Row Thos,20 Bell Street Edgware Road London ,51.5189412,-0.1685655,1839
Britannia,Smith Charles,26 Brown street Edgware road London ,51.5189412,-0.1685655,1839
Fountain,Lancaster Hy,94 Praed Street Edgware Road London ,51.5189412,-0.1685655,1839
Red Lion,Mullins John & William,Edgware Road  London ,51.5189412,-0.1685655,1839
Magpie & Stump,Golding Thos,34 Cheyne Walk Chelsea London ,51.4836056,-0.1679207,1839
George IV,Tye Edward,Montpelier Terrace  London ,51.5003094,-0.1676863,1839
Lord Nelson,Harrison Anthony A,10 Manor Place Chelsea London ,51.4875595,-0.1676368,1839
Jolly Angler,Norris Timothy,Chapel Row Kentish Town London ,51.519627,-0.1676355,1839
Black Bull,Peddle Jane,Little Chapel street Westminster London ,51.519627,-0.1676355,1839
Kings Arms,Judd James,Old Chapel Row Kentish Town London ,51.519627,-0.1676355,1839
Masons Arms,West samuel,18 Titchborne Street  London ,51.514672,-0.1674552,1839
Black Horse,Reid James,5 Titchborne Street  London ,51.5145779,-0.1673124,1839
Lord Hill,Dallen Jesse,Manor Street Chelsea London ,51.4868864,-0.1671903,1839
Cobhams Head,Hickman Jno,Cobham Row  London ,51.454322,-0.1671513,1839
Horse Shoe,Baldwin Thomas,Titchborne Street  London ,51.5144483,-0.1671416,1839
Bricklayers Arms,Whitehead Thos.,11 Chapel court Borough London ,51.5920246,-0.1669368,1839
Sun,Harper Joseph,40 Chapel Street Pimlico London ,51.5196821,-0.1668024,1839
Globe,Reeder Richard & Co,65 Lisson Grove N  London ,51.5232049,-0.1666861,1839
Pontefract Castle,Watts David,48 Chapel Street Lisson grove London ,51.5198949,-0.166408,1839
Yorkshire Grey,Watson John Chas,14 Cheyne Walk Chelsea London ,51.4840293,-0.1654753,1839
Coach & Horses,Quye John,Flood Street Westminster London ,51.4862206,-0.1653445,1839
King Alfred,Hibble Charles,11 Lisson Grove North  London ,51.5218823,-0.1651063,1839
Green Man,Lowe Richard,134 Edgware Road  London ,51.5165786,-0.1648992,1839
Geneva Arms,Redkison William,3 Hayes Court Soho London ,51.5228373,-0.1647702,1839
Noahs Ark,King William,16 Upper Lisson Street  London ,51.5216614,-0.1647436,1839
Brazen Head,Smeed Ths.,1 Upper Lisson street  London ,51.5215749,-0.1647286,1839
Sun,Gurney Henry,6 Upper Lisson Street  London ,51.5214763,-0.164625,1839
Kings Head,Wordley Edward,22 Nutford Place  London ,51.5165039,-0.1646012,1839
Artichoke,Smith William,18 Cambridge Road  London ,51.4738215,-0.1645251,1839
Two Brewers,Buskell Thos,Queens Buildings Knightsbridge London ,51.4991195,-0.1644394,1839
Olive Branch,Beasley Frederick,58 Crawford Street  London ,51.5189138,-0.1644142,1839
Coach & Horses,Clayton Thomas,118 Edgware Road  London ,51.5162723,-0.1642706,1839
Castle,Bulter John,36 Shouldham street  London ,51.5185036,-0.1642006,1839
Harcourt Arms,Toombs Hy,32 Harcourt Street  London ,51.5195437,-0.1641306,1839
Kings Arms,Pratt Thomas Wills,108 Edgware Road  London ,51.5159056,-0.1638201,1839
Star & Garter,Salmon John,94 Edgware Road  London ,51.5156455,-0.1634396,1839
Sovereign,Jarmain Thomas,Taunton Place Park Road London ,51.5266229,-0.1632072,1839
Crown,Chapman Susannah,84 Edgware Road  London ,51.5154103,-0.1631276,1839
Blue Anchor,Banter edward,92 York street Westminster London ,51.5199064,-0.1630239,1839
Three Crowns,Neale Thos,4 Royal Hospital Row Chelsea London ,51.4849934,-0.1628638,1839
Coach & Horses,Vincent Jas,4 Hospital Row Chelsea London ,51.4849934,-0.1628638,1839
Duke of York,Pearce Jeremiah,9 Royal Hospital Row  London ,51.4851389,-0.1628537,1839
Bell,Stone William,Smith Street  London ,51.4885783,-0.1628004,1839
Phoenix,Rich William,22 Smith Street Chelsea London ,51.4886169,-0.1627111,1839
Fleece,Page Eliza mary,Well Court Queen Street London ,51.621248,-0.1627046,1839
Harrow,Wright Robert,21 Primrose Hill  London ,51.5427894,-0.1627045,1839
Adam & Eve,Bowen William,82 York street Westminster London ,51.5199861,-0.1626634,1839
General Eliott,Denbigh John,17 Hospital Row Chelsea London ,51.4853266,-0.1626191,1839
Bulls Head,Durrant James,71 York street Westminster London ,51.519759,-0.162606,1839
Plasterers Arms,Philips John Rouse,77 Seymour Street  London ,51.5140928,-0.1623916,1839
Snow Shoes,Tingey Joseph,21 Royal Hospital Row  London ,51.4854219,-0.1623355,1839
Royal Hospital,Cockerton Jos,23 Royal Hospital Row Chelsea London ,51.48547,-0.1622783,1839
White Horse,Pearcey Jas,17 St Georges Place Knightsbridge London ,51.5012054,-0.1622753,1839
Dukes Head,Eastward William,Reeves Mews Grosvenor Square London ,51.4134132,-0.1622245,1839
Bricklayers Arms,Wighton Chas.,43 Mount street Berkeley square London ,51.5149978,-0.1621509,1839
Kings Head and Eight Bells,Spenceley William,45 Cheyne Walk Chelsea London ,51.485865,-0.1620796,1839
Grapes,Richardson Haigh,28 London Road  London ,51.4193081,-0.1620692,1839
Duke of Wellington,Jones Thomas,94 Crawford Street  London ,51.5192556,-0.1619003,1839
Swan,Standard Henry,49 Mount Street Berkeley Square London ,51.5151209,-0.1615393,1839
Old Swan,Gould daniel,63 Paradise Row Chelsea London ,51.4856544,-0.1615281,1839
Fulham Bridge,Vickress Henry,10 Brompton Road  London ,51.5012756,-0.1615056,1839
Hop Pole,Carruthers Wm,28 Edgware Road  London ,51.5141252,-0.1614035,1839
Black Horse,Cutler Edward,63 York Street Westminster London ,51.5200956,-0.1614009,1839
Greyhound,Read Geo,9 Henrietta Street Bryanstone Square London ,51.5186041,-0.1613346,1839
Elephant & Castle,Street Henry,Kings Road Camden Town London ,51.4908297,-0.1612429,1839
Oxford Arms,Bridge William,1 Seymour Place Camden Town London ,51.5145814,-0.1611206,1839
Fox and Hounds,Callow Christopher Richard,31 Paradise Row Chelsea London ,51.4852498,-0.1610727,1839
Boston Arms,Caslake George,Boston street Dorset square London ,51.5231425,-0.1608564,1839
Portland Arms,Pearce John,9 Milton Street Dorset Square London ,51.5231425,-0.1608564,1839
Duke of Cumberland,Green Robert,20 Bryanstone Street  London ,51.513896,-0.1607925,1839
Gloucester Arms,Faram Israel,5 Upper Park Place Regents Park London ,51.5495951,-0.1607283,1839
Green Dragon,Speed Rowland,21 Paradise Row Chelsea London ,51.4850337,-0.160647,1839
Coach & Horses,Hogg Thomas,York Street Westminster London ,51.5202643,-0.1605544,1839
Montague Arms,Veale George,Upper Montague Street  London ,51.5202643,-0.1605544,1839
Red Lion,Nolan Bridget,York Street St James London ,51.5202643,-0.1605544,1839
New Inn,Whatmore Edward,5 Edgware Road  London ,51.513593,-0.1605361,1839
Bell,Amos Thomas,59 Mount Street Berkeley Square London ,51.5153437,-0.1604726,1839
Sun,Gurney George,4 Sloane Street  London ,51.5013868,-0.1603916,1839
